Date,Open,High,Low,Close,Volume,Ticker
2014-12-29,2086.0,2088.75,2076.0,2085.75,636345,ES=F
2014-12-30,2087.5,2088.5,2073.0,2076.75,718028,ES=F
2014-12-31,2076.25,2082.75,2050.75,2052.5,836223,ES=F
2015-01-02,2055.0,2067.25,2038.75,2046.25,1358348,ES=F
2015-01-05,2045.75,2048.25,2009.5,2016.0,2033774,ES=F
2015-01-06,2019.0,2023.5,1984.25,1994.5,2345361,ES=F
2015-01-07,1996.5,2023.75,1995.75,2019.5,1760658,ES=F
2015-01-08,2020.5,2058.5,2020.25,2055.0,1555733,ES=F
2015-01-09,2053.75,2062.0,2031.25,2035.25,1907571,ES=F
2015-01-12,2034.5,2048.25,2015.25,2022.5,1622204,ES=F
2015-01-13,2023.75,2051.75,2001.0,2016.0,2496445,ES=F
2015-01-14,2017.25,2019.5,1981.25,2007.5,2516599,ES=F
2015-01-15,2009.75,2027.25,1978.25,1989.0,2259660,ES=F
2015-01-16,1980.75,2014.25,1970.25,2013.0,2017979,ES=F
2015-01-20,2013.5,2026.5,1997.5,2016.75,1807759,ES=F
2015-01-21,2015.75,2032.75,2005.25,2026.5,1639269,ES=F
2015-01-22,2026.75,2059.25,2019.25,2056.5,1834361,ES=F
2015-01-23,2056.5,2062.5,2042.25,2044.0,1353089,ES=F
2015-01-26,2035.0,2055.0,2025.5,2053.5,1264468,ES=F
2015-01-27,2054.0,2054.75,2013.25,2030.0,1957000,ES=F
2015-01-28,2036.5,2046.5,1991.25,1991.5,2087277,ES=F
2015-01-29,1993.5,2020.0,1982.0,2018.5,2124643,ES=F
2015-01-30,2019.25,2020.5,1986.25,1988.5,2353992,ES=F
2015-02-02,1990.5,2018.5,1973.75,2017.0,2038824,ES=F
2015-02-03,2015.0,2044.0,2007.0,2042.0,1705780,ES=F
2015-02-04,2040.5,2049.25,2022.75,2030.0,1696963,ES=F
2015-02-05,2025.0,2058.75,2020.75,2055.0,1343547,ES=F
2015-02-06,2056.25,2068.0,2044.5,2053.0,1722475,ES=F
2015-02-09,2050.0,2051.75,2036.5,2042.5,1289419,ES=F
2015-02-10,2043.75,2066.5,2040.5,2062.25,1397704,ES=F
2015-02-11,2062.75,2079.5,2053.25,2065.75,1295469,ES=F
2015-02-12,2071.5,2085.5,2058.5,2084.0,1433910,ES=F
2015-02-13,2083.0,2095.0,2081.5,2093.5,1224925,ES=F
2015-02-17,2091.25,2098.75,2080.75,2096.0,1234818,ES=F
2015-02-18,2096.5,2098.5,2088.5,2095.5,1088179,ES=F
2015-02-19,2095.25,2099.5,2087.25,2095.25,1143901,ES=F
2015-02-20,2096.0,2108.75,2082.25,2107.0,1645222,ES=F
2015-02-23,2107.25,2108.25,2099.75,2106.75,849695,ES=F
2015-02-24,2106.25,2115.75,2102.75,2113.75,1080747,ES=F
2015-02-25,2113.75,2117.75,2107.25,2110.25,974711,ES=F
2015-02-26,2110.5,2114.75,2101.5,2110.0,1176136,ES=F
2015-02-27,2109.5,2111.0,2100.75,2102.75,1207187,ES=F
2015-03-02,2104.0,2115.5,2100.5,2114.0,1075660,ES=F
2015-03-03,2114.0,2114.5,2095.5,2104.75,1360995,ES=F
2015-03-04,2104.75,2104.75,2085.25,2096.5,1490440,ES=F
2015-03-05,2096.5,2103.5,2093.25,2099.75,1097593,ES=F
2015-03-06,2099.5,2103.5,2065.5,2070.75,1901150,ES=F
2015-03-09,2073.5,2082.5,2066.0,2077.75,1189658,ES=F
2015-03-10,2077.5,2078.0,2041.25,2042.0,1903455,ES=F
2015-03-11,2044.25,2052.25,2038.25,2039.5,1707510,ES=F
2015-03-12,2042.0,2066.5,2038.25,2064.0,1628622,ES=F
2015-03-13,2064.25,2068.75,2040.0,2049.75,1209436,ES=F
2015-03-16,2050.75,2081.75,2044.5,2076.5,946436,ES=F
2015-03-17,2074.5,2078.75,2064.25,2074.5,953277,ES=F
2015-03-18,2074.25,2107.75,2060.5,2100.5,644412,ES=F
2015-03-19,2101.0,2107.25,2085.0,2090.5,341006,ES=F
